DATE,XLB_CLOSE,XLB_HIGH,XLB_LOW,XLB_OPEN,XLB_VOLUME
2016-08-16T00:00:00.000Z,42.3961744761,42.8580444139,42.3787454219,42.6924683985,3384643
2016-08-17T00:00:00.000Z,42.3613163676,42.4528189024,42.0083780189,42.3613163676,3076380
2016-08-18T00:00:00.000Z,42.6314667086,42.6314667086,42.3614035129,42.3787454219,3377924
2016-08-19T00:00:00.000Z,42.6924683985,42.7534700884,42.2741710963,42.526892383,4906103
2016-08-22T00:00:00.000Z,42.6314667086,42.6924683985,42.3090292048,42.5356069102,3049985
2016-08-23T00:00:00.000Z,42.9974768479,43.1979109719,42.9016170495,43.0061913751,4129724
2016-08-24T00:00:00.000Z,42.5007488016,42.936475158,42.4484616389,42.936475158,3903916
2016-08-25T00:00:00.000Z,42.7098974527,42.7621846155,42.4484616389,42.457176166,3388152
2016-08-26T00:00:00.000Z,42.4658906931,43.1543383362,42.2916001506,42.8754734681,5978525
2016-08-29T00:00:00.000Z,42.8493298868,42.9451025399,42.3961744761,42.4048890032,2983773
2016-08-30T00:00:00.000Z,42.7447555612,43.0584785378,42.6663248171,42.8319008325,3765845
2016-08-31T00:00:00.000Z,42.317743732,42.5966086001,42.2218839336,42.526892383,4190169
2016-09-01T00:00:00.000Z,42.4920342745,42.5443214373,42.1783112979,42.4484616389,4731848
2016-09-02T00:00:00.000Z,42.9190461038,42.9190461038,42.6837538713,42.8144717782,3304483
2016-09-06T00:00:00.000Z,42.8231863054,43.0759075921,42.6401812357,42.9626187394,3204293
2016-09-07T00:00:00.000Z,42.7621846155,42.8841879953,42.4920342745,42.727326507,5742053
2016-09-08T00:00:00.000Z,42.5791795458,42.7796136697,42.4484616389,42.6837538713,2865123
2016-09-09T00:00:00.000Z,41.3417166937,42.2916001506,41.298144058,42.2654565692,8673660
2016-09-12T00:00:00.000Z,41.7338704144,41.8471592671,41.0192791899,41.0977099341,6512770
2016-09-13T00:00:00.000Z,40.9582775001,41.4724346006,40.6881271591,41.3068585852,10473968
2016-09-14T00:00:00.000Z,40.8624177016,41.1151389883,40.7404143219,40.9582775001,7789753
2016-09-15T00:00:00.000Z,41.1238535155,41.2109987868,40.7055562133,40.8014160118,6125024
2016-09-16T00:00:00.000Z,40.9602034105,41.0302807474,40.7762504012,40.8463277381,8579002
2016-09-19T00:00:00.000Z,41.0215210803,41.2886909272,40.9514437434,41.1441564199,3676521
2016-09-20T00:00:00.000Z,40.8988857408,41.3806674319,40.8901260737,41.3281094292,3999387
2016-09-21T00:00:00.000Z,41.5208221056,41.5733801083,41.0478000817,41.1266370857,5596234
2016-09-22T00:00:00.000Z,41.6522171123,42.0113634639,41.547101107,41.8186507874,2995691
2016-09-23T00:00:00.000Z,41.4419851016,41.7135347821,41.4332254345,41.5120624385,4310207
2016-09-26T00:00:00.000Z,41.2492724252,41.5295817728,41.1967144225,41.468264103,3757813
2016-09-27T00:00:00.000Z,41.3719077648,41.4069464332,41.0390404145,41.1091177514,3321752
2016-09-28T00:00:00.000Z,41.8449297887,41.8887281243,41.2755514265,41.468264103,4566609
2016-09-29T00:00:00.000Z,41.5208221056,41.9588054612,41.389427099,41.6784961136,4661251
2016-09-30T00:00:00.000Z,41.8274104545,41.9763247954,41.6434574452,41.7748524519,4695270
2016-10-03T00:00:00.000Z,41.7748524519,41.9675651283,41.7222944492,41.8536894559,8099736
2016-10-04T00:00:00.000Z,41.2054740897,41.9150071256,41.1354843494,41.8361701216,5916792
2016-10-05T00:00:00.000Z,41.4857834372,41.6696488499,41.2843110936,41.2843110936,6742787
2016-10-06T00:00:00.000Z,41.8274104545,41.8493096223,41.3281094292,41.389427099,5229775
2016-10-07T00:00:00.000Z,41.0478000817,41.8799684572,40.9076454079,41.8799684572,5890851
2016-10-10T00:00:00.000Z,41.2930707608,41.5908994425,41.2054740897,41.2930707608,3091942
2016-10-11T00:00:00.000Z,40.7324520657,41.0478000817,40.4696620523,41.0040017461,11350539
2016-10-12T00:00:00.000Z,40.6536150617,40.8025294026,40.4530186848,40.7674907341,4058156
2016-10-13T00:00:00.000Z,40.443383051,40.5397393892,39.9090433572,40.2156317061,4947051
2016-10-14T00:00:00.000Z,40.5747780577,40.8638470723,40.5309797221,40.6185763932,4768706
2016-10-17T00:00:00.000Z,40.6098167261,40.758731067,40.5309797221,40.5922973919,3269079
2016-10-18T00:00:00.000Z,40.9777227448,41.1003580843,40.837568071,41.0127614132,2919849
2016-10-19T00:00:00.000Z,41.2755514265,41.3456287634,40.916405075,41.074079083,2684793
2016-10-20T00:00:00.000Z,41.2405127581,41.3762875983,40.955823577,41.2229934239,2728197
2016-10-21T00:00:00.000Z,41.2229934239,41.2492724252,40.8200487368,40.9076454079,3862896
2016-10-24T00:00:00.000Z,41.3193497621,41.4507447688,41.2142337568,41.3806674319,3020715
2016-10-25T00:00:00.000Z,40.9426840763,41.3018304279,40.8507075717,41.1353967528,3372022
2016-10-26T00:00:00.000Z,40.8813664065,40.9514437434,40.6940847237,40.8901260737,3345110
2016-10-27T00:00:00.000Z,40.8288084039,41.0565597488,40.6448553946,40.9864824119,4758562
2016-10-28T00:00:00.000Z,40.9339244092,41.271171593,40.7149327314,40.9514437434,5305748
2016-10-31T00:00:00.000Z,40.9514437434,41.074079083,40.8682269059,40.9426840763,7162100
2016-11-01T00:00:00.000Z,40.7149327314,41.2054740897,40.4871813866,41.0390404145,14226947
2016-11-02T00:00:00.000Z,40.4959410537,40.8550874052,40.4959410537,40.7762504012,5839835
2016-11-03T00:00:00.000Z,40.5047007208,40.7105528979,40.3995847154,40.4696620523,4241369
2016-11-04T00:00:00.000Z,40.6448553946,40.8638470723,40.443383051,40.5047007208,4415660
2016-11-07T00:00:00.000Z,41.2667917594,41.2667917594,40.9864824119,41.1178774185,7098546
2016-11-08T00:00:00.000Z,41.3981867661,41.5295817728,41.074079083,41.1616757541,5291849
2016-11-09T00:00:00.000Z,42.2741534772,42.3705098154,41.0390404145,41.3719077648,14765147
2016-11-10T00:00:00.000Z,42.7646948354,42.9749268461,42.4493468194,42.4668661536,20335326
2016-11-11T00:00:00.000Z,42.177797139,42.7471755012,41.9150071256,42.7033771656,6714039
2016-11-14T00:00:00.000Z,42.2741534772,42.414308151,42.0113634639,42.3705098154,8338953
2016-11-15T00:00:00.000Z,42.4493468194,42.4581064865,41.9500457941,42.2478744758,6960690
2016-11-16T00:00:00.000Z,42.3705098154,42.5194241563,42.2276396448,42.3529904812,3716488
2016-11-17T00:00:00.000Z,42.3880291496,42.5369434905,42.1690374718,42.5019048221,4135666
2016-11-18T00:00:00.000Z,42.3267114798,42.3792694825,42.1996963067,42.3792694825,3894162
2016-11-21T00:00:00.000Z,42.8260125052,42.8435318394,42.3880291496,42.3880291496,3799109
2016-11-22T00:00:00.000Z,43.0888025185,43.1763991896,42.8172528381,42.9398881776,5135054
2016-11-23T00:00:00.000Z,43.2815151949,43.3077941963,42.8873301749,43.0099655145,3498823
2016-11-25T00:00:00.000Z,43.4129102016,43.4391892029,43.25085636,43.3253135305,1602589
2016-11-28T00:00:00.000Z,43.2377168594,43.4391892029,43.1414481178,43.4391892029,4529691
2016-11-29T00:00:00.000Z,43.2815151949,43.4566209405,42.9223688434,43.0888025185,3430694
2016-11-30T00:00:00.000Z,43.7457775518,43.8508935571,43.369111866,43.5092665398,7427726
